,manufacturer,model
N29917,EMBRAER,EMB-145LR
N299WN,BOEING,737-7H4
N301DQ,BOEING,737-732
N301FR,AIRBUS,A320-251N
N301NB,AIRBUS INDUSTRIE,A319-114
N302DN,AIRBUS,A321-211
N302NB,AIRBUS INDUSTRIE,A319-114
N303DN,AIRBUS,A321-211
N303FR,AIRBUS,A320-251N
N304DN,AIRBUS,A321-211
N304FR,AIRBUS,A320-251N
N304JB,EMBRAER,ERJ 190-100 IGW
N305DN,AIRBUS,A321-211
N305FR,AIRBUS,A320-251N
N306DN,AIRBUS,A321-211
N306JB,EMBRAER,ERJ 190-100 IGW
N307DQ,BOEING,737-732
N307DX,AIRBUS,A321-211
N307FR,AIRBUS,A320-251N
N307JB,EMBRAER,ERJ 190-100 IGW
N308DN,AIRBUS,A321-211
N308FR,AIRBUS,A320-251N
N309DE,BOEING,737-732
N309DN,AIRBUS,A321-211
N309FR,AIRBUS,A320-251N
N309JB,EMBRAER,ERJ 190-100 IGW
N309US,AIRBUS INDUSTRIE,A320-211
N310DN,AIRBUS,A321-211
N310FR,AIRBUS,A320-251N
N310NW,AIRBUS INDUSTRIE,A320-211
N31131,EMBRAER,EMB-145XR
N311DN,AIRBUS,A321-211
N311FR,AIRBUS,A320-251N
N311US,AIRBUS INDUSTRIE,A320-211
N312DN,AIRBUS,A321-211
N312US,AIRBUS INDUSTRIE,A320-211
N313DN,AIRBUS,A321-211
N313US,AIRBUS INDUSTRIE,A320-211
N314DN,AIRBUS,A321-211
N314NB,AIRBUS INDUSTRIE,A319-114
N314US,AIRBUS INDUSTRIE,A320-211
N315DN,AIRBUS,A321-211
N315NB,AIRBUS INDUSTRIE,A319-114
N315US,AIRBUS INDUSTRIE,A320-211
N316DN,AIRBUS,A321-211
N316JB,EMBRAER,ERJ 190-100 IGW
N316NB,AIRBUS INDUSTRIE,A319-114
N316US,AIRBUS INDUSTRIE,A320-211
N317DN,AIRBUS,A321-211
N317JB,EMBRAER,ERJ 190-100 IGW
N317NB,AIRBUS INDUSTRIE,A319-114
N317US,AIRBUS INDUSTRIE,A320-211
N317WN,BOEING,737-3Q8
N318DX,AIRBUS,A321-211
N318JB,EMBRAER,ERJ 190-100 IGW
N318NB,AIRBUS INDUSTRIE,A319-114
N318US,AIRBUS INDUSTRIE,A320-211
N319DN,AIRBUS,A321-211
N319NB,AIRBUS INDUSTRIE,A319-114
N319US,AIRBUS INDUSTRIE,A320-211
N320DN,AIRBUS,A321-211
N320NB,AIRBUS INDUSTRIE,A319-114
N320US,AIRBUS INDUSTRIE,A320-211
N321DH,AIRBUS,A321-211
N321NB,AIRBUS INDUSTRIE,A319-114
N321US,AIRBUS INDUSTRIE,A320-211
N322DN,AIRBUS,A321-211
N322NB,AIRBUS INDUSTRIE,A319-114
N322US,AIRBUS INDUSTRIE,A320-211
N323JB,EMBRAER,ERJ 190-100 IGW
N323NB,AIRBUS INDUSTRIE,A319-114
N323US,AIRBUS INDUSTRIE,A320-211
N324DX,AIRBUS,A321-211
N324JB,EMBRAER,ERJ 190-100 IGW
N324NB,AIRBUS INDUSTRIE,A319-114
N324US,AIRBUS INDUSTRIE,A320-211
N325NB,AIRBUS INDUSTRIE,A319-114
N325US,AIRBUS INDUSTRIE,A320-211
N326NB,AIRBUS INDUSTRIE,A319-114
N326US,AIRBUS INDUSTRIE,A320-211
N327NB,AIRBUS INDUSTRIE,A319-114
N327NW,AIRBUS INDUSTRIE,A320-211
N328JB,EMBRAER,ERJ 190-100 IGW
N328NB,AIRBUS INDUSTRIE,A319-114
N328NW,AIRBUS INDUSTRIE,A320-211
N329JB,EMBRAER,ERJ 190-100 IGW
N329NB,AIRBUS INDUSTRIE,A319-114
N329NW,AIRBUS INDUSTRIE,A320-211
N330NB,AIRBUS INDUSTRIE,A319-114
N330NW,AIRBUS INDUSTRIE,A320-211
N33182,EMBRAER,EMB-145XR
N331NB,AIRBUS INDUSTRIE,A319-114
N331NW,AIRBUS INDUSTRIE,A320-211
N33203,BOEING,737-824
N33209,BOEING,737-824
N33262,BOEING,737-824
N33264,BOEING,737-824
N33266,BOEING,737-824
N33284,BOEING,737-824
N33286,BOEING,737-824
N33289,BOEING,737-824
N33292,BOEING,737-824
N332NB,AIRBUS INDUSTRIE,A319-114
N332NW,AIRBUS INDUSTRIE,A320-211
N333NB,AIRBUS INDUSTRIE,A319-114
N333NW,AIRBUS INDUSTRIE,A320-211
N334JB,EMBRAER,ERJ 190-100 IGW
N334NB,AIRBUS INDUSTRIE,A319-114
N334NW,AIRBUS INDUSTRIE,A320-212
N335NB,AIRBUS INDUSTRIE,A319-114
N335NW,AIRBUS INDUSTRIE,A320-212
N336NB,AIRBUS INDUSTRIE,A319-114
N336NW,AIRBUS INDUSTRIE,A320-212
N33714,BOEING,737-724
N337JB,EMBRAER,ERJ 190-100 IGW
N337NB,AIRBUS INDUSTRIE,A319-114
N337NW,AIRBUS INDUSTRIE,A320-212
N338NB,AIRBUS,A319-114
N338NW,AIRBUS INDUSTRIE,A320-212
N339JB,EMBRAER,ERJ 190-100 IGW
N339NB,AIRBUS,A319-114
N339NW,AIRBUS INDUSTRIE,A320-212
N340NB,AIRBUS,A319-114
N340NW,AIRBUS INDUSTRIE,A320-212
N34110,EMBRAER,EMB-145XR
N341NB,AIRBUS,A319-114
N341NW,AIRBUS INDUSTRIE,A320-212
N34222,BOEING,737-824
N34282,BOEING,737-824
N342NB,AIRBUS,A319-114
N342NW,AIRBUS INDUSTRIE,A320-212
N343NB,AIRBUS,A319-114
N343NW,AIRBUS INDUSTRIE,A320-212
N34455,BOEING,737-924ER
N34460,BOEING,737-924ER
N344NB,AIRBUS,A319-114
N344NW,AIRBUS INDUSTRIE,A320-212
N345NB,AIRBUS,A319-114
N345NW,AIRBUS INDUSTRIE,A320-212
N346JB,EMBRAER,ERJ 190-100 IGW
N346NB,AIRBUS,A319-114
N347NB,AIRBUS,A319-114
N347NW,AIRBUS INDUSTRIE,A320-212
N348JB,EMBRAER,ERJ 190-100 IGW
N348NB,AIRBUS,A319-114
N348NW,AIRBUS INDUSTRIE,A320-212
N349NB,AIRBUS,A319-114
N349NW,AIRBUS INDUSTRIE,A320-212
N350NA,AIRBUS INDUSTRIE,A320-212
N351JB,EMBRAER,ERJ 190-100 IGW
N351NB,AIRBUS,A319-114
N351NW,AIRBUS INDUSTRIE,A320-212
N35204,BOEING,737-824
N35236,BOEING,737-824
N35260,BOEING,737-824
N35271,BOEING,737-824
N352NB,AIRBUS,A319-114
N352NW,AIRBUS INDUSTRIE,A320-212
N352SW,BOEING,737-3H4
N353JB,EMBRAER,ERJ 190-100 IGW
N353NB,AIRBUS,A319-114
N353NW,AIRBUS INDUSTRIE,A320-212
N354JB,EMBRAER,ERJ 190-100 IGW
N354NB,AIRBUS,A319-114
N354NW,AIRBUS INDUSTRIE,A320-212
N354SW,BOEING,737-3H4
N355JB,EMBRAER,ERJ 190-100 IGW
N355NB,AIRBUS,A319-114
N355NW,AIRBUS INDUSTRIE,A320-212
N356NW,AIRBUS INDUSTRIE,A320-212
N356SW,BOEING,737-3H4
N357NB,AIRBUS,A319-114
N357NW,AIRBUS INDUSTRIE,A320-212
N357SW,BOEING,737-3H4
N358JB,EMBRAER,ERJ 190-100 IGW
N358NB,AIRBUS,A319-114
N358NW,AIRBUS INDUSTRIE,A320-212
N358SW,BOEING,737-3H4
N359NB,AIRBUS,A319-114
N359NW,AIRBUS INDUSTRIE,A320-212
N360NB,AIRBUS,A319-114
N360NW,AIRBUS INDUSTRIE,A320-212
N361NB,AIRBUS,A319-114
N361NW,AIRBUS INDUSTRIE,A320-212
N361VA,AIRBUS,A320-214
N36207,BOEING,737-824
N36247,BOEING,737-824
N36272,BOEING,737-824
N36280,BOEING,737-824
N362NB,AIRBUS,A319-114
N362NW,AIRBUS INDUSTRIE,A320-212
N363NB,AIRBUS,A319-114
N363NW,AIRBUS INDUSTRIE,A320-212
N36444,BOEING,737-924ER
N36447,BOEING,737-924ER
N36469,BOEING,737-924ER
N36472,BOEING,737-924ER
N364NB,AIRBUS,A319-114
N364NW,AIRBUS INDUSTRIE,A320-212
N365NB,AIRBUS,A319-114
N365NW,AIRBUS INDUSTRIE,A320-212
N366NB,AIRBUS,A319-114
N366NW,AIRBUS INDUSTRIE,A320-212
N367NW,AIRBUS INDUSTRIE,A320-212
N368JB,EMBRAER,ERJ 190-100 IGW
N368NB,AIRBUS,A319-114
N368NW,AIRBUS INDUSTRIE,A320-212
N36915,EMBRAER,EMB-145LR
N369NB,AIRBUS,A319-114
N369NW,AIRBUS INDUSTRIE,A320-212
N370NB,AIRBUS,A319-114
N370NW,AIRBUS INDUSTRIE,A320-212
N370SW,BOEING,737-3H4
N371CA,BOMBARDIER INC,CL-600-2C10
N371DA,BOEING,737-832
N371NB,AIRBUS,A319-114
N371NW,AIRBUS INDUSTRIE,A320-212
N37252,BOEING,737-824
N37253,BOEING,737-824
N37255,BOEING,737-824
N37263,BOEING,737-824
N37267,BOEING,737-824
N37273,BOEING,737-824
N37274,BOEING,737-824
N37277,BOEING,737-824
N37281,BOEING,737-824
N37287,BOEING,737-824
N37290,BOEING,737-824
N372DA,BOEING,737-832
N372NW,AIRBUS INDUSTRIE,A320-212
N3730B,BOEING,737-832
N3731T,BOEING,737-832
N3732J,BOEING,737-832
N3733Z,BOEING,737-832
N3734B,BOEING,737-832
N3735D,BOEING,737-832
N3736C,BOEING,737-832
N3737C,BOEING,737-832
N3738B,BOEING,737-832
N3739P,BOEING,737-832
N373DA,BOEING,737-832
N373JB,EMBRAER,ERJ 190-100 IGW
N373NW,AIRBUS INDUSTRIE,A320-212
N373SW,BOEING,737-3H4
N3740C,BOEING,737-832
N37413,BOEING,737-924ER
N37419,BOEING,737-924ER
N3741S,BOEING,737-832
N37420,BOEING,737-924ER
N37422,BOEING,737-924ER
N37427,BOEING,737-924ER
N3742C,BOEING,737-832
N37434,BOEING,737-924ER
N37437,BOEING,737-924ER
N3743H,BOEING,737-832
N3744F,BOEING,737-832
N37456,BOEING,737-924ER
N3745B,BOEING,737-832
N37462,BOEING,737-924ER
N37464,BOEING,737-924ER
N37465,BOEING,737-924ER
N37466,BOEING,737-924ER
N37468,BOEING,737-924ER
N3746H,BOEING,737-832
N37470,BOEING,737-924ER
N37471,BOEING,737-924ER
N37474,BOEING,737-924ER
N3747D,BOEING,737-832
N3748Y,BOEING,737-832
N3749D,BOEING,737-832
N374DA,BOEING,737-832
N374JB,EMBRAER,ERJ 190-100 IGW
N374NW,AIRBUS INDUSTRIE,A320-212
N374SW,BOEING,737-3H4
N3750D,BOEING,737-832
N3751B,BOEING,737-832
N3752,BOEING,737-832
N3753,BOEING,737-832
N3754A,BOEING,737-832
N3755D,BOEING,737-832
N3756,BOEING,737-832
N3757D,BOEING,737-832
N3758Y,BOEING,737-832
N3759,BOEING,737-832
N375DA,BOEING,737-832
N375JB,EMBRAER,ERJ 190-100 IGW
N375NC,AIRBUS,A320-212
N375SW,BOEING,737-3H4
N3760C,BOEING,737-832
N3761R,BOEING,737-832
N3762Y,BOEING,737-832
N3763D,BOEING,737-832
N3764D,BOEING,737-832
N3765,BOEING,737-832
N3766,BOEING,737-832
N3767,BOEING,737-832
N3768,BOEING,737-832
N3769L,BOEING,737-832
N376DA,BOEING,737-832
N376NW,AIRBUS,A320-212
N376SW,BOEING,737-3H4
N37700,BOEING,737-832
N3771K,BOEING,737-832
N3772H,BOEING,737-832
N3773D,BOEING,737-832
N377DA,BOEING,737-832
N377NW,AIRBUS,A320-211
N378DA,BOEING,737-832
N378NW,AIRBUS,A320-211
N378SW,BOEING,737-3H4
N379DA,BOEING,737-832
N379SW,BOEING,737-3H4
N380DA,BOEING,737-832
N380SW,BOEING,737-3H4
N381DN,BOEING,737-832
N38257,BOEING,737-824
N38268,BOEING,737-824
N382DA,BOEING,737-832
N382SW,BOEING,737-3H4
N383DN,BOEING,737-832
N383SW,BOEING,737-3H4
N38417,BOEING,737-924ER
N38443,BOEING,737-924ER
N38446,BOEING,737-924ER
N38451,BOEING,737-924ER
N38454,BOEING,737-924ER
N38458,BOEING,737-924ER
N38459,BOEING,737-924ER
N38467,BOEING,737-924ER
N38473,BOEING,737-924ER
N38479,BOEING,737-900ER
N384DA,BOEING,737-832
N385DN,BOEING,737-832
N385SW,BOEING,737-3H4
N386DA,BOEING,737-832
N386SW,BOEING,737-3H4
N38727,BOEING,737-724
N387DA,BOEING,737-832
N387SW,BOEING,737-3H4
N388DA,BOEING,737-832
N388SW,BOEING,737-3H4
N389DA,BOEING,737-832
N389SW,BOEING,737-3H4
N390DA,BOEING,737-832
N390SW,BOEING,737-3H4
N391CA,BOMBARDIER INC,CL-600-2C10
N391DA,BOEING,737-832
N391SW,BOEING,737-3H4
N392DA,BOEING,737-832
N392SW,BOEING,737-3H4
N393DA,BOEING,737-832
N39415,BOEING,737-924ER
N39416,BOEING,737-924ER
N39418,BOEING,737-924ER
N39423,BOEING,737-924ER
N39450,BOEING,737-924ER
N39461,BOEING,737-924ER
N39463,BOEING,737-924ER
N39475,BOEING,737-924ER
N394DA,BOEING,737-832
N394SW,BOEING,737-3H4
N395DN,BOEING,737-832
N395SW,BOEING,737-3H4
N396DA,BOEING,737-832
N396SW,BOEING,737-3H4
N39728,BOEING,737-724
N397DA,BOEING,737-832
N397SW,BOEING,737-3H4
N398CA,BOMBARDIER INC,CL-600-2C10
N398DA,BOEING,737-832
N398SW,BOEING,737-3H4
N399DA,BOEING,737-832
N399WN,BOEING,737-3H4
N400WN,BOEING,737-7H4
N401UA,AIRBUS INDUSTRIE,A320-232
N401WN,BOEING,737-7H4
N402UA,AIRBUS INDUSTRIE,A320-232
N402WN,BOEING,737-7H4
N403UA,AIRBUS INDUSTRIE,A320-232
N403WN,BOEING,737-7H4
N404UA,AIRBUS INDUSTRIE,A320-232
N404WN,BOEING,737-7H4
N405UA,AIRBUS INDUSTRIE,A320-232
N405WN,BOEING,737-7H4
N406UA,AIRBUS INDUSTRIE,A320-232
N406WN,BOEING,737-7H4
N407UA,AIRBUS INDUSTRIE,A320-232
N407WN,BOEING,737-7H4
N408UA,AIRBUS INDUSTRIE,A320-232
N408WN,BOEING,737-7H4
N409UA,AIRBUS INDUSTRIE,A320-232
N409WN,BOEING,737-7H4
N410UA,AIRBUS INDUSTRIE,A320-232
N410WN,BOEING,737-7H4
N411UA,AIRBUS INDUSTRIE,A320-232
N411WN,BOEING,737-7H4
N412UA,AIRBUS INDUSTRIE,A320-232
N412WN,BOEING,737-7H4
N413UA,AIRBUS INDUSTRIE,A320-232
N413WN,BOEING,737-7H4
N414UA,AIRBUS INDUSTRIE,A320-232
N414WN,BOEING,737-7H4
N415UA,AIRBUS INDUSTRIE,A320-232
N415WN,BOEING,737-7H4
N416UA,AIRBUS INDUSTRIE,A320-232
N416WN,BOEING,737-7H4
N417UA,AIRBUS INDUSTRIE,A320-232
N417WN,BOEING,737-7H4
N418UA,AIRBUS INDUSTRIE,A320-232
N418WN,BOEING,737-7H4
N419UA,AIRBUS INDUSTRIE,A320-232
N419WN,BOEING,737-7H4
N420UA,AIRBUS INDUSTRIE,A320-232
N420WN,BOEING,737-7H4
N421LV,BOEING,737-7H4
N421UA,AIRBUS INDUSTRIE,A320-232
N422UA,AIRBUS INDUSTRIE,A320-232
N422WN,BOEING,737-7H4
N423UA,AIRBUS INDUSTRIE,A320-232
N423WN,BOEING,737-7H4
N424AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N424UA,AIRBUS INDUSTRIE,A320-232
N424WN,BOEING,737-7H4
N425LV,BOEING,737-7H4
N425UA,AIRBUS INDUSTRIE,A320-232
N426AA,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N426UA,AIRBUS INDUSTRIE,A320-232
N426WN,BOEING,737-7H4
N427UA,AIRBUS INDUSTRIE,A320-232
N427WN,BOEING,737-7H4
N428UA,AIRBUS INDUSTRIE,A320-232
N428WN,BOEING,737-7H4
N429UA,AIRBUS INDUSTRIE,A320-232
N429WN,BOEING,737-7H4
N430UA,AIRBUS INDUSTRIE,A320-232
N430WN,BOEING,737-7H4
N431UA,AIRBUS INDUSTRIE,A320-232
N431WN,BOEING,737-7H4
N432UA,AIRBUS INDUSTRIE,A320-232
N432WN,BOEING,737-7H4
N433LV,BOEING,737-7H4
N433UA,AIRBUS INDUSTRIE,A320-232
N434UA,AIRBUS INDUSTRIE,A320-232
N434WN,BOEING,737-7H4
N435UA,AIRBUS INDUSTRIE,A320-232
N435WN,BOEING,737-7H4
N436UA,AIRBUS INDUSTRIE,A320-232
N436WN,BOEING,737-7H4
N437UA,AIRBUS INDUSTRIE,A320-232
N437WN,BOEING,737-7H4
N438UA,AIRBUS INDUSTRIE,A320-232
N438WN,BOEING,737-7H4
N439UA,AIRBUS INDUSTRIE,A320-232
N439WN,BOEING,737-7H4
N440LV,BOEING,737-7H4
N440UA,AIRBUS INDUSTRIE,A320-232
N441UA,AIRBUS INDUSTRIE,A320-232
N441WN,BOEING,737-7H4
N442UA,AIRBUS INDUSTRIE,A320-232
N442WN,BOEING,737-7H4
N443UA,AIRBUS INDUSTRIE,A320-232
N443WN,BOEING,737-7H4
N444UA,AIRBUS INDUSTRIE,A320-232
N444WN,BOEING,737-7H4
N445UA,AIRBUS INDUSTRIE,A320-232
N445WN,BOEING,737-7H4
N446UA,AIRBUS INDUSTRIE,A320-232
N446WN,BOEING,737-7H4
N447UA,AIRBUS INDUSTRIE,A320-232
N447WN,BOEING,737-7H4
N448UA,AIRBUS INDUSTRIE,A320-232
N448WN,BOEING,737-7H4
N449UA,AIRBUS INDUSTRIE,A320-232
N449WN,BOEING,737-7H4
N450WN,BOEING,737-7H4
N451UA,AIRBUS INDUSTRIE,A320-232
N451WN,BOEING,737-7H4
N452UA,AIRBUS INDUSTRIE,A320-232
N452WN,BOEING,737-7H4
N453UA,AIRBUS INDUSTRIE,A320-232
N453WN,BOEING,737-7H4
N45440,BOEING,737-924ER
N454UA,AIRBUS INDUSTRIE,A320-232
N454WN,BOEING,737-7H4
N455UA,AIRBUS INDUSTRIE,A320-232
N455WN,BOEING,737-7H4
N456UA,AIRBUS INDUSTRIE,A320-232
N456WN,BOEING,737-7H4
N457UA,AIRBUS INDUSTRIE,A320-232
N457WN,BOEING,737-7H4
N458UA,AIRBUS INDUSTRIE,A320-232
N458WN,BOEING,737-7H4
N459UA,AIRBUS INDUSTRIE,A320-232
N459WN,BOEING,737-7H4
N460UA,AIRBUS INDUSTRIE,A320-232
N460WN,BOEING,737-7H4
N461UA,AIRBUS INDUSTRIE,A320-232
N461WN,BOEING,737-7H4
N462UA,AIRBUS INDUSTRIE,A320-232
N462WN,BOEING,737-7H4
N463UA,AIRBUS INDUSTRIE,A320-232
N463WN,BOEING,737-7H4
N464UA,AIRBUS INDUSTRIE,A320-232
N464WN,BOEING,737-7H4
N465UA,AIRBUS INDUSTRIE,A320-232
N465WN,BOEING,737-7H4
N466UA,AIRBUS INDUSTRIE,A320-232
N466WN,BOEING,737-7H4
N467UA,AIRBUS INDUSTRIE,A320-232
N467WN,BOEING,737-7H4
N468UA,AIRBUS INDUSTRIE,A320-232
N468WN,BOEING,737-7H4
N469UA,AIRBUS INDUSTRIE,A320-232
N469WN,BOEING,737-7H4
N470UA,AIRBUS INDUSTRIE,A320-232
N470WN,BOEING,737-7H4
N471UA,AIRBUS INDUSTRIE,A320-232
N472UA,AIRBUS INDUSTRIE,A320-232
N472WN,BOEING,737-7H4
N473UA,AIRBUS INDUSTRIE,A320-232
N473WN,BOEING,737-7H4
N47414,BOEING,737-924ER
N474AA,CESSNA,172M
N474UA,AIRBUS INDUSTRIE,A320-232
N474WN,BOEING,737-7H4
N475UA,AIRBUS INDUSTRIE,A320-232
N475WN,BOEING,737-7H4
N476UA,AIRBUS INDUSTRIE,A320-232
N476WN,BOEING,737-7H4
N477UA,AIRBUS INDUSTRIE,A320-232
N477WN,BOEING,737-7H4
N478UA,AIRBUS INDUSTRIE,A320-232
N478WN,BOEING,737-7H4
N479UA,AIRBUS INDUSTRIE,A320-232
N479WN,BOEING,737-7H4
N480UA,AIRBUS INDUSTRIE,A320-232
N480WN,BOEING,737-7H4
N481UA,AIRBUS INDUSTRIE,A320-232
N481WN,BOEING,737-7H4
N482UA,AIRBUS INDUSTRIE,A320-232
N482WN,BOEING,737-7H4
N483UA,AIRBUS INDUSTRIE,A320-232
N483WN,BOEING,737-7H4
N484UA,AIRBUS INDUSTRIE,A320-232
N484WN,BOEING,737-7H4
N485UA,AIRBUS INDUSTRIE,A320-232
N485WN,BOEING,737-7H4
N486UA,AIRBUS INDUSTRIE,A320-232
N486WN,BOEING,737-7H4
N487UA,AIRBUS INDUSTRIE,A320-232
N487WN,BOEING,737-7H4
N488UA,AIRBUS INDUSTRIE,A320-232
N488WN,BOEING,737-7H4
N48901,EMBRAER,EMB-145LR
N489UA,AIRBUS,A320-232
N489WN,BOEING,737-7H4
N490UA,AIRBUS,A320-232
N490WN,BOEING,737-7H4
N491UA,AIRBUS,A320-232
N491WN,BOEING,737-7H4
N492UA,AIRBUS,A320-232
N492WN,BOEING,737-7H4
N493UA,AIRBUS,A320-232
N493WN,BOEING,737-7H4
N494UA,AIRBUS,A320-232
N494WN,BOEING,737-7H4
N495UA,AIRBUS,A320-232
N495WN,BOEING,737-7H4
N496UA,AIRBUS,A320-232
N496WN,BOEING,737-7H4
N497UA,AIRBUS,A320-232
N497WN,BOEING,737-7H4
N498UA,AIRBUS,A320-232
N498WN,BOEING,737-7H4
N499WN,BOEING,737-7H4
N500WR,BOEING,737-8H4
N502NK,AIRBUS,A319-132
N503JB,AIRBUS INDUSTRIE,A320-232
N503NK,AIRBUS,A319-132
N504JB,AIRBUS INDUSTRIE,A320-232
N504NK,AIRBUS,A319-132
N505JB,AIRBUS INDUSTRIE,A320-232
N505NK,AIRBUS,A319-132
N506JB,AIRBUS INDUSTRIE,A320-232
N506NK,AIRBUS,A319-132
N507AA,WOBIG WAYNE R,FALCON-XP
N507AY,AIRBUS,A321-231
N507NK,AIRBUS,A319-132
N508AA,BELL,206B
N508AY,AIRBUS,A321-231
N508JB,CIRRUS DESIGN CORP,SR22
N508NK,AIRBUS,A319-132
N509AY,AIRBUS,A321-231
N509JB,AIRBUS INDUSTRIE,A320-232
N509NK,AIRBUS,A319-132
N510AA,CESSNA,210N
N510JB,AIRBUS INDUSTRIE,A320-232
N510NK,AIRBUS,A319-132
N510UW,AIRBUS,A321-231
N512NK,AIRBUS,A319-132
N514NK,AIRBUS,A319-132
N515NK,AIRBUS,A319-132
N516JB,AIRBUS INDUSTRIE,A320-232
